dialogue,emotion
" Well , then , may I invite you for the first dance ? ",joy
" My pleasure . But I'm afraid I'm not much of a dancer , and I suppose you dance often . ",joy
" Me ? Oh , no . In fact , I took up dancing quite recently . ",other
" Oh , really ? But you're doing the waltz wonderfully well . ",other
" I'm glad you say so , you dance beautifully too . It's lucky that I got a partner . ",joy
 Thank you for your compliments.It ' s just that you are a good leader . Do you like the fox-trot and tango ? ,joy
 Yes . And what dances do you do best ? ,joy
" Disco is my favorite . I like it better than any other dances because it can release one's pent-up feelings , and is a healthy exercise . But I don't do the rock and roll and the break dance . ",joy
" Oh , well , the music has stopped . Thank you for the dance . ",joy
 My pleasure . Let's go and have a drink . ,joy
 Fine . ,joy
 We rappelled down the side of a 300 - foot cliff . It's very exciting . ,joy
 Wow . That sounds like a lot of fun . I am sorry I missed it . ,sadness
" Yeah , I will . See you then ! ",joy
 What did you say ? How many ? ,other
 800 books ? I'm impressed ! ,other
" What ? Ed , don ’ t tell me you only have bad news ! ",other
 For crying out loud ... How fast are we losing money ? ,anger
 What ! Geez ! How could this have happened ? So what ’ s the bad news ? ,other
 Are you joking ? Get the supplier on the line now ! They have to assume the costs of this mess ! ,other
 We ’ re doomed ! ,anger
 Really ? What ! ,other
 Are you kidding me ? It's going to be up a piece of cake . ,other
 Really ? Me too . ,other
 Absolutely ! ,joy
 How nice ! I can see you are busying packing . I'm sorry to interrupt you . ,joy
 That's all right . I'm almost finished . Do you need my help ? ,joy
" Yes , could you please go over this for me ? And see if there is any mistake in it ? ",joy
 Oh . All right I'll read it soon . ,joy
 Excuse me for taking your time . ,joy
 It's nothing Nancy . ,joy
 My dissertation . I put it somewhere last night and I can't find it now . ,sadness
" Yes , I kept on typing it until midnight , but it is lost . ",sadness
" Yes , but there is nothing inside the drawers or on the desk . ",sadness
 I've searched everywhere . Where on earth did I put it ? ,sadness
 I have been working on it for a whole month and it's too late to write another . Just think of all my hard work that goes for nothing . How could I do such a thing ? ,sadness
" Let me see . Yes , that's it . Where did you find it ? ",joy
 My poor memory . Thank you very much . ,joy
Crazy ! He locked himself in the room . ,other
 What a strange guy ! ,other
 Peter ! Pack them . Don't read them . ,anger
" Thanks , John . ",joy
"This is great , isn't it ? ",joy
 It's the most fun I've had in years . ,joy
 We should do this more often . ,joy
" Yes , we should . ",joy
Have we sold out all the newspapers for today ? ,joy
 Yes . What a good job we have done ! ,joy
 Good idea . ,joy
I'm afraid of the darkness . ,other
 Thank you . ,joy
 You think it's funny . I'm terrified . ,other
 But I've never jumped off anything in my life . The highest thing I've jumped off is my bed . I'm scared . ,other
" I guess I'm adventuresome , but then I'm scared too . ",other
 Enjoy yourself . ,joy
"Wow , the view from the peak is so grand ! ",joy
" Look , most of the maple leaves have turned red . ",joy
" Honey , I'm sorry . I promise you , this summer vacation , I will take you to Huang-Shan Mountains . It is more beautiful and magnificent . ",joy
 Really ? It's a deal . Have you ever been there ? ,other
 Ok . Take the Underground ( the Circle line ) to High Street Kensington . Make sure you take the High Street Kensington exit . ,joy
 Got that . ,joy
" Ok - when you leave the Underground , cross the road and you should see Horntown Street . Was up that street to the crossroads . As you was you should see a fast food place on your right . ",joy
" Hold on , I am looking at the map now . Ok , I can see Horntown Road . Do I go straight at the intersection ? ",joy
" No , you need to turn left into Philimore Was and take the next right . ",joy
" Ok , I can see that road . ",joy
 That's fine . You will not miss it because it's just next to the Kensington centra Library . ,joy
" Good , I can see the library on the map . ",joy
" Ok , we live in the third building on your left . Will we see you around 7 pm ? ",joy
" That's great , see you at seven . ",joy
Guess what came in the mail today ? ,joy
 My acceptance letter to Yale ! ,joy
 Wow ! Congratulation ! When do classes start ? ,joy
" Freshman orientation is the last week of august , but I want to go two weeks before that to get settled in . ",joy
 You ’ re so lucky ! Do you have to do many things before you leave ? ,joy
 Really ? ,other
 maybe because they think they know everything already ! ha ha . ,joy
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ",joy
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ",other
" All right , see you later . ",joy
 Thank you very much . Are you here alone ? ,joy
 Cool . You must have been to a lot of places . ,joy
" Yes , actually almost half of all the countries over the world . I love traveling places . ",joy
 So cool . I want to be a back-packer when I grow up . ,joy
" It's nice meeting you too , Alice . ",joy
 See you around ! ,joy
"Good morning , Mei ! How are you ? ",joy
" Hi Tom ! I'm fine , and you ? ",joy
 Not bad thanks . ,joy
 Good . See you ! ,joy
 Bye ! ,joy
" Of course ! Let ’ s have a look . Great ! In my frame of mind , I ’ d like to buy one today . ",joy
"Hey , your Chinese is coming along ! ",joy
 Yeah . It ’ s a lot better than mine . ,joy
 Hang in there . It ’ ll all come together one of these days . ,joy
I can't believe the weather is so gorgeous for your wedding . ,other
 Yes . It's perfect . ,joy
 Looks pretty good . ,joy
 Thank you for caring enough to check on your scores ; keep studying ! ,joy
 No ... He told me I'm pregnant ! ,joy
 Congratulations ! ,joy
 And so I bought all these books on having kids and ... ,joy
 How did you know ! They say listening to classical music can make your baby smarter ! ,joy
Guess what ! I know something you don't know ! ,joy
 How many planets are there in the solar system ? ,joy
 Not anymore ! Can you believe it ? They've decided that Pluto is not a planet anymore ! ,other
" I'm dead serious . They've decided that it's too small to be a planet , but actually they haven't yet agreed on how big something has to be in order to be a planet anymore . ",joy
 That sounds crazy . But they can't just change their mind about things like that . ,other
" Yes , they can . If you remember correctly , people used to believe that the world was flat . ",joy
 I suppose we could actually live on a planet outside of the milky way . ,joy
 I hope not . I think they would be a threat to those of us that lived on the Earth . ,joy
 You're so old-fashioned . That's what people used to think about people from another country ! ,joy
" Point taken . Hopefully one day , we'll live in an interplanetary society . ",joy
" I'm sorry , I overslept . ",sadness
It's snowing outside . ,joy
" Oh , how could it be ? ",other
 Let's go out and have a look . ,joy
 OK . Wait a minute . ,joy
" Look at the snow , it's so beautiful . ",joy
 Yes . It's really snowing . ,joy
" I love winter , I love snow . ",joy
 You are so interesting . ,joy
" Where have you been , Alice , you're over an hour late . ",anger
" why ere you getting off work so late ? The office close at six , doesn ’ t it ? ",anger
 Didn ’ t you tell him you have an appointment ? ,anger
" Well , no . I thought I ‘ Ve finish in five minutes . and I didn ’ t want to be difficult about just few minutes , if I hadn ’ t been missing the bus and in the traffic I wouldn ’ t have been so late . I ’ m sorry . ",sadness
 I didn't really like it . ,other
 I found it very disappointing . ,other
 I wasn't happy with it . ,other
"I'm busy year in and year out , but now I've done nothing . ",sadness
" I may have done a lot , but none is to my satisfaction . ",sadness
 Perhaps . I'm dead tired . ,sadness
 I'd like to . But I'm not myself today . ,sadness
 It's the end of the world for me . ,sadness
" Today , I'm told I failed three courses . ",sadness
 B :: I'm such a fool that duplication of effort is only a waste time to me . ,sadness
I just love your hair that way . ,joy
 Thanks . ,joy
 Where did you have it done ? ,joy
 My sister did it . When did you get yours cut ? ,joy
 Just yesterday . I'm still getting used to it . ,joy
" Well , it looks very nice . ",joy
 Thanks . ,joy
That was a great party . Thanks for staying behind to help me clear up . ,joy
 It certainly was a great party . It ’ s a pity that a glass and a plate got broken and someone spilled a drink over here . ,joy
" I expected that something might get broken . That doesn ’ t bother me . That spilled drink won ’ t leave a stain , will it ? ",joy
 How terrible ! This is quite unexpected ! ,other
 Have a nice weekend . ,joy
Thanks a million . ,joy
 Don't mention it . ,joy
" Pretty well , thanks . Still feeling the effects of jet lag a bit , but last night I got at lease six hours of rest . ",joy
" Great ! So , are you ready for a full day of shopping ? ",joy
 Cool ! Teach me ! ,joy
" Thank you for such a lovely evening ! The food was amazing , and I had a great time . ",joy
 Me too.You look so beautiful tonight ! I wish this night would never end.There ’ s something I have to tell you ... ,joy
" I woke up today thinking this would be just like any other ordinary day , but I was wrong . A twist of fate brought us together . I crashed into your life and you into mine , and this may sound crazy , but I ’ m falling in love with you , Veronica . ",joy
 Are you serious ? We ’ Ve been friends for years ! We can ’ t just change that overnight ! ,other
 that sounds nice . How do you spend your mornings ? ,joy
 What ? That's too much . ,other
 She is expecting . ,joy
 Congratulations to you . ,joy
 Thank you . ,joy
Those guys thought they would never lose . But we finally beat them . And look at them crying now . ,joy
" Yeah , but so what ! I ’ m proud to live in the world ’ s most exciting city . And , the salaries here are the highest in the nation , too . ",joy
You see that chick over there ? ,joy
 Yeah . Isn't she hot ? ,joy
 Just alright ? ! ? She's hot ! ,joy
" Typical Francis , whether you are at work , or engaged in leisure time activities , you always show the same eagerness and curiosity to learn something new and improve yourself . ",joy
 It is important to keep your mind up-to-date and active . ,joy
"Thank you for showing me your offices , Mr . Becker . I can see why Washington bureaucrats enjoy their jobs . ",joy
" The city is beautiful , the off ... , the offices are modern and comfortable , and the work is so interesting . ",joy
 It ’ s OK . It seems we have a lot in common . ,joy
" Oh , really ? That is great news . What does he look like ? ",other
" He is tall and slim , fair-haired . ",joy
 Sounds like he is pretty cute . What do you think of him ? ,joy
 He is a nice guy and very considerate . I am impressed with how smart and humorous . ,joy
" Oh , it ’ s love at first sight . ",joy
 Thank you very much . We really had a good time . ,joy
 Well . Thank you for coming . ,joy
 Really ? That's the icing on the cake . Congratulation again ! ,other
 That sounds great . Where should we meet ? ,joy
 Sounds good . See you there . ,joy
 They're cute . But do you think you'll wear them much ? ,joy
"It ’ s so relaxing , taking a walk in the country . The air is so fresh and clean . ",joy
 The view from the hill is so beautiful and relaxing . There ’ s so sign of pollution . The village looks so peaceful . ,joy
" to be honest , I'm a bit fed up . ",anger
" well , my boyfriend was supposed to call me last night , but he never did . ",anger
" the thing is , this isn't the first time he's promised to do something and then didn't . ",anger
 a bit ? I'm extremely annoyed that he didn't phone me when he promised me that he would ! He's such a liar . ,anger
I'm scared that she might not come back . ,other
 But she took her luggage away with her . ,other
"I really enjoyed tonight's party . Thank you , Sarah . ",joy
" You're welcome , Bob . It was nice meeting you . ",joy
" Nice meeting you , too . ",joy
 Yes . I think I won't come here again next time . ,other
 We waste a vacation . ,other
"Rose , the weekend is coming . Let's discuss what we will do . ",joy
 What about going to the zoo on Saturday and to the park on Sunday ? ,joy
 Sounds good . But on Saturday there's a football final . ,joy
 Let me see . We can visit the country . We haven't done that for such a long time . ,joy
" Good idea . I'll go shopping in one of the department stores nearby . We'll go to the zoo and the park another time . After all , we can put that off . ",joy
 OK . ,joy
 No wonder your English is so good . ,joy
 Thank you . ,joy
What are you doing there with your mobile phone ? ,joy
 I'm moblogging ! ,joy
 Moblogging ? what does that mean ? ,other
" Oh , moblogging is a combination of the word ' mobile ' and ' blogging ' . It's another form of blogging . Users can publish blog entries to the web from a mobile phone or other mobile devices . ",joy
 Sounds interesting ! That must be very convenient . ,joy
" Yes , you're right . I can blog wherever and whenever I'm on the move . It's especially good when I'm on a business trip and my laptop happens to be away from me . ",joy
 How can you do that ? ,joy
" Well , if I simply want to write a few words , I'll send it by email or edit it all from the cell phone browser . ",joy
 What if you want to publish some photos ? ,joy
" Then I'll shoot some pictures , re-size the images and upload them with text descriptions to my blog . ",joy
 I see . Moblogging must have done a great favor for habitual bloggers like you . ,joy
 You bet it ! ,joy
Wow . Look how polite your son has become . ,joy
" Yes . We had a big talk with him , and he has really turned over a new leaf . ",joy
 Really ? Do you like the story ? It's sheer nonsense ! ,other
 Really ? How long have you been playing piano ? ,other
" It was fantastic ! We had such a good time . The only problem was that because it was their high season , we spent hours queuing . ",joy
 Peak periods always entail hours of queuing . At least you got a nice tan though ! ,joy
" Yes , Florida had great weather while we were there . You look tan , too . Did you go somewhere ? ",joy
 My friends and I just got back from Bali . ,joy
" Wow ! Bali Islands have some of the best beaches in the world , don't they ? ",joy
" Yes , we were lucky . My friend's father owns a resort on one of the islands , so we were able to stay for free . ",joy
 I've got quite a few pictures of all different kinds of fish . I'll show them to you next time I see you . ,joy
 Have you started planning your christmas vacation yet ? ,joy
 We're planning on going skiing in Switzerland . Do you ski ? ,joy
" No , but I do like snowboarding . ",joy
 Would you like to go skiing with us for christmas ? ,joy
 I'll talk to my husband about it ; I'm sure he'll say yes ! He loves Switzerland ! ,joy
 It is Europe's spotless land of lakes and mountains ! Let me know as soon as you can so we can get a discount . ,joy
" In that case , I'll be seeing you . ",joy
 See you later . ,joy
 That ’ s a good idea . You are a fireman and it can be a dangerous job . ,joy
 You're right . Thank you for the advice . ,joy
" Yes , it is . Look at the little light ! It blinks off and on . ",joy
 I would look so cool carrying this around ! ,joy
 Really ? I thought the exhibition showed that he had real talent . What did you think of it ? ,other
 That would be nice . Can you read the characters ? ,joy
 Really ? ,other
" Yes , look at the photos I took . ",joy
 They are beautiful . You did a good job . ,joy
 Thank you for saying so . ,joy
" As a matter of fact , you are really a terrific photographer . ",joy
 Stay away from me . ,anger
" I'm serious , Zina . Back off . I have a bottle of pepper spray in my pocket . ",anger
 Why are you being so nice to me ? Don't think for a second that I trust you . ,anger
 No problem . ,joy
 Thank you . Come back to my office at the same time tomorrow . I'll have the pictures ready by then . ,joy
 I will . ,joy
That's a very nice pair of glasses . ,joy
" Yes , and I like the color too . It matches your eyes . ",joy
 That's incredible ! ,other
I like to stay here . ,joy
 People are very kind down your way . You ’ re lucky . ,joy
 Really ? ,other
 Well . I ’ m rather disappointed with it . ,other
 It ’ s too old . And it isn ’ t as specious as I expected . ,other
 He makes me sick . ,other
 I just lost my job . My boss just told me . ,sadness
 I don't understand of myself . It seems they have to save money . ,sadness
" Oh doctor , I feel so foolish . ",joy
" I know doctor , thank you so much . ",joy
Whose handset sounds so beautiful ,joy
" Mine . It's My Heart Will Go On , the theme song of Titanic . Isn't it of strong character ? ",joy
I don't know what to do about the people who live in the flat above me ! ,anger
 They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep ! ,anger
" I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again ! ",anger
 They both just talk about how great they are all the time . ,anger
 They soud like the neighbours from hell ! ,anger
" They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment . ",anger
 I can't afford to move right now . ,other
" I think you're being a bit optimistic . If you met them , you'd understand . ",other
"It's nice and bright today , isn't it ? ",joy
" Yes , the autumn is marvelous here . ",joy
 Congratulations ! That ’ s wonderful . I bet both of you are quite happy . ,joy
" Ok , on that day , boys usually give roses to the sweet hearts and girls give them chocolate in return . ",joy
 So romantic.young people must have lot of fun . ,joy
" Yeah , that is what the holiday is for , isn't it ? ",joy
 I ’ Ve made a lot of new friends since I started learning English . Maybe you could join a club or take a class to make some new friends . ,joy
 That ’ s a good idea . ,joy
 People who play ultimate Frisbee have a positive attitude ; maybe you should join the ultimate Frisbee club . ,joy
 That ’ s a possibility . Thanks ! ,joy
 Really ! You don't have some kind of Chinese ghost festival ? ,other
 Good Point ! ,joy
" Oh , that's my great , great , great , great , great , great , great grandfather . ",joy
 I think you can say your seventh great grandfather ! Cutie ! What's his name ? ,joy
 Nice pun . What is it you active about him most ? ,joy
 He loved his family and his countrymen and his freedom . ,joy
 He looks like a very personable man . ,joy
 He was . He was friendly toward and showed concern for everyone he met . ,joy
Did you hear ? The state is thinking of legalizing gambling in our city ! Soon we are gonna have amazing hotels and casinos here which will be good for our business ! ,joy
 Are you serious ? Gambling is a vice industry built on deception and fed by the intentional exploitation of human weakness for the sole purpose of monetary gain ! It disgusts me . ,other
 What are you talking about ? How does it exploit people ? ,other
" Great , here are some flowers for you . I hope you like them . I was not sure if the color will suit your new apartment . ",joy
" Thank you , they ’ re beautiful . You can hang your coat over there . Try this new couch , it is so comfortable . You will love it . Want something to drink , tea , coffee , juice or Cola ? ",joy
 It must be a unique experience . I ’ m looking forward to share your story when you come back . ,joy
"Happy birthday , Alice , here is a little something for you . ",joy
" Thank you very much , David . It's an excellent birthday gift . ",joy
 I'm so relieved . I just passed the bar exam . ,joy
 You did ? That's great ! You must be very happy now ? ,other
 That's an understatement . I'm on cloud nine . I couldn't be any happier . ,joy
 They're probably going to be so happy . ,joy
 I think so . It's turning out to be a great day . ,joy
The dinner was really good . It knocked my socks off . ,joy
 That's very kind of you to say so . Let's try some after-dinner wines . ,joy
 Great . Sweet wines are my favorite . They always make a great finish to a decisions meal . ,joy
 Do you prefer brandy or ports . ,joy
" Port , please . ",joy
 Excellent choice . I love its smooth flavor . ,joy
 The port is quite exquisite . It must have spent years aging in barrels . Am I right ? ,joy
 Yes . You always have a good nose for wines . ,joy
 Next time we are about to dinner we should try some Canadian ice wine . ,joy
" Oh , what's that ? ",other
 It's made from naturally frozen grapes . ,joy
 Why not ? It sounds great . ,joy
" OK , here's to your health . ",joy
 Thanks . Cheers . ,joy
 Cheers . ,joy
 Thank you . Now how much do I owe you ? ,joy
 The bourbon is 15 dollars plus 10 % service charge . So the total is 16.5 dollars . ,joy
 That is OK . Here is 20 dollars and you can keep the change . ,joy
 Thanks a lot . ,joy
" Oh , no ! I can't have failed . surely ? ",other
 Whatever am i going to tell me parents . ,sadness
" oh , why ? ",other
"Happy birthday , Ann . Many happy returns of the day ! Here is a present for you . ",joy
" Thank you , Peter . Come into the dining room . We are going to cut the cake soon . ",joy
" Ok , who is that girl ? ",joy
" That's Cathy . She is pretty , isn't she ? She likes dancing . Ask her to dance . ",joy
" Well , I don't know . ",joy
 Don't be afraid . She isn't going to bite you . ,joy
 Who is afraid ? I am not afraid . ,joy
 Thank you very much . ,joy
"Let's skip The X-files tonight , Fran . Okay ? Just this once ? ",joy
 Let me guess . You want to watch the History Channel again ! ,joy
 How did you know ! There's a program on ancient Egypt tonight . ,joy
" Well , I guess I could tape The X-files and watch it later ... ",joy
" Look , it's starting ! ",joy
Do you feel like going to see Paul and Claire tonight ? ,joy
 I'd like that very much . ,joy
 How does 7:30 sound ? ,joy
 Fine . See you later . ,joy
"David , have you watched the 82nd Oscar Awards Ceremony ? Avatar got the Award of Visual Effect . The movie sounds great ! ",joy
 Its 3D animation is attractive and its colorful scenes are also unforgettable . ,joy
" Well , its theme is moving and profound , so from the academic aspect , this is its advantage to win the award . ",joy
Wow ! That's a fantastic movie ! ,joy
" Yes . I love it , too . ",joy
 That's an interesting combination . How about western movies ? ,joy
 Ha ha . I know what you mean . But it's just a movie . They need for the characters to do that . ,joy
 But I still get stuck on the different tones . It drives me crazy . ,other
 The exam ! The terrible exam ! I'm not ready yet . Can you tell me how to get good marks ? ,other
 That sounds ridiculous . Why ? ,other
" Wow ! No wonder people are so fat . Say , Carl , looks like you could be doing a bit more exercising . ",other
 So what happened ? ,other
"Merry Christmas , Lily . ",joy
" The same to you , Joey . ",joy
 This is your first Christmas in the US . Here is the gift for you . ,joy
" It's very thoughtful of you . Wow , it is so beautiful . Could you tell me how American people celebrate Christmas ? ",joy
" really ? I ’ m very surprised . He doesn ’ t look like a guy who ’ d ever do that sort of thing , right ? ",other
" Really , what's going to happen now ? ",other
 What an amazing goal ! ,joy
 It was very good . I followed it right to the end . ,joy
 Certainly.Go ahead . ,joy
"Hello baseball fans , and welcome back to today ’ s game ! My name is Rick Fields and of course , I am here , once again , with the man that seals the deal , Bob Copeland . ",joy
 It ’ s a beautiful day to see two world class teams face each other and fight for their right to be called champions . ,joy
" Well , the national anthem has just been sung , and the umpire has started the game . It ’ s time to play ball ! ",joy
 Roger Vargas is up at bat . The pitcher winds up and strike one ! ,joy
" A very nice curve ball by the pitcher . The catcher gives him the sign , he winds up and Vargas gets a line drive ! ",joy
 The players are scrambling to get the ball . Vargas gets to first base and he ’ s still going ! The outfielder throws it to second ! Vargas slides ! He ’ s safe ! ,joy
 Great play ! ,joy
" We have a runner on third and up at bat is Brian Okapi ! There ’ s the pitch , he hits it ! It ’ s going , going , that ball is gone ! ",joy
 Home run by Okapi ! That puts this team ahead by two as we are at the bottom of the fifth inning here at Richie Stadium ! ,joy
"So , this is the worst story I ’ Ve heard this month . You have my real sympathy , Tim . ",sadness
" You know , all I was trying to do was tell the truth but they obviously didn ’ t take it that way . ",sadness
" Yeah , I ’ m dealing with it . Anyway . Thank you , Mike . ",joy
 thanks for understanding . ,joy
 maybe ... I'll think about it . ,joy
 Thank you very much for looking after my house in my absence . ,joy
 That's all right.Would you have a cup of coffee ? ,joy
" Yes , Please.It ' s very kind of you . ",joy
 Don't mention it . ,joy
 The rooms are very tidy and the flowers grew very well.You are very helpful . I want to thank you for everything you've done for me . ,joy
 It's my pleasure . ,joy
" I bought you some books on literature , I don't know if you would like them . ",joy
 Thank you.Thank you for the trouble you've taken . ,joy
 Not at all . ,joy
" Really ? I ’ m very surprised . He doesn ’ t look like a guy who ’ d ever do that sort of thing , right ? ",other
 Really ? How long have you been playing piano ? ,other
" That ’ s really interesting , you have to play for me some time . ",joy
" No , not at all . Glad to have you . ",joy
 Really ? That's too bad ! You should be at home in bed . It's really important to get a lot of rest . ,other
 Ugh ! ,joy
 A ETV ? Are you serious ? ETV ? ,other
 Never ? Really ? I'm surprised . ,other
" OK , let's go . ",joy
 Is she really ? I can ’ t believe it ! ,other
 Good gracious . That ’ s incredible ! ,other
 You ’ re kidding . ,other
 Really ? I ’ m surprised . ,other
" Thank you , sir , I'm sure I will . ",joy
" 500 dollars ! That's too much ! You just said you are afraid to lose your money.If you're afraid , why do you want to gamble 500 dollars ? ",other
"I feel very miserable . I took the death of my wife very hard , you know . ",sadness
" I ’ Ve tried it , not a chance . ",sadness
 I don ’ t really like Henry . I like my Rose . ,other
 I don ’ t like your Rose . And I do love Henry . And I ’ m going to marry him . ,other
 Your Rose is a fool . ,other
" Really , Mary , you ’ re horrible . ",anger
" Why don ’ t you marry Rose , then ? ",anger
 Fine ! How are you ? ,joy
" I'm fine too , thank you . ",joy
 I've come to tell you I'm going to the concert this evening.Will you come with me ? I've two complimentary tickets . ,joy
 With the greatest pleasure.Where is the concert this evening ? ,joy
I couldn't wait to meet you in person . ,joy
" Me , too . I've heard so much about you . ",joy
 Same here . ,joy
 I was looking forward to your arrival . ,joy
" I couldn ’ t agree more . Actually , I ’ m a Beijing Opera fan . ",joy
 Really ? Good for you . ,other
 America ? Did you get admit to MIT ? ,other
 Congratulations ! Susan . I ’ m so happy for you . ,joy
 Thank you . ,joy
 Ok . Take care . Have a nice journey . ,joy
 Thank you . ,joy
Do you like flowers ? ,joy
" Of course , I like flowers . ",joy
 What's your favorite flower ? ,joy
" I like peach blossom , because I like spring . ",joy
 Peach blossom is really beautiful . ,joy
 Yes . How about you ? ,joy
 I like lotus . ,joy
 You have a perfect taste ! ,joy
 But there aren't any lotus now . ,joy
 Yes . It's snowing outside . Let's enjoy the plum blossoms . ,joy
 That's not bad . Let's go . ,joy
 I've never seen a movie I don't like that had Harrison Ford in it . ,joy
" So , is that a yes ? ",joy
 Yes . What time does it start and do you want to meet me there ? ,joy
 Great ! I have a coupon for free popcorn at that theater ! ,joy
 Thanks . I will . ,joy
 I think a mountain village is splendid ! ,joy
 We're sorry you have to leave . ,sadness
 Certainly . Come back soon . ,joy
 yes . It seems she can never accept a childless marriage . We had a fight last night . ,sadness
I've had enough of that ! ,other
 I hate the hero.He ' s too cruel . ,other
 We'll see how much fun it is after they take all your money ! ! ,anger
" You are so paranoid ! Not everybody is a crook , you know . ",anger
It's taking you forever to do my hair . ,anger
 You should've been done already . ,anger
 I don't think that you're done . ,anger
 My hair looks hideous . ,anger
 It doesn't look good at all . ,anger
 I really hope that you didn't expect me to pay you for this . ,anger
Excuse me ! I don't have time to waste . I've been here almost one full hour ! ,anger
 Unbelievable ! Parking in this city is such a nightmare ! ,other
" Oh , gosh ! I have to go to the restroom so bad ! I can't bear it anymore ! ",anger
" Oh , look ! There's a spot open next to the public restroom ! Can I take it ? ",joy
What are we going to do ? I can't get the car out of this ditch . I'm stuck ! ,anger
 I know . This is terrible . What can we do ? This snow doesn't stop falling ! ,anger
 Alright . That's a good idea . ,joy
 Days ? ,other
" Oh , my God ! It's good we have food . ",joy
" Well , shall we go to the cinema ? ",joy
 All right.That sounds more interesting . ,joy
 Would you prefer our cocktail — Shanghai cocktail ? It's a mixture of real Chinese ingredients . ,joy
 That ’ s good . ,joy
" ( The waiter makes the cocktail for Mr . Bellow and hands into him . ) Here is your Shanghai cocktail , Mr . Bellow . ",joy
" Thank you . Oh , it tastes excellent . ",joy
 Thank you for your kindness . I will think about it carefully . ,joy
" But this time I ’ m going to stick to it . I really mean it ! Trust me , Carol , I ’ m going to be a new man in one year ’ s time ! ",joy
" Sure , I've been meaning to visit that place myself . ",joy
" Certainly . But if there are going to be four of us , I had better make reservations . ",joy
 Yes . that is a very good idea . It would be a shame if we could not find a place to sit . ,joy
 Then I'II make reservations for 9 pm for a party of four . ,joy
" I'll be there . Oh , is there a cover charge at the bar ? ",joy
 Perfect . I wanted to have a casual evening tonight . ,joy
 I'll see you there at 9pm . ,joy
 Okay . See you then . ,joy
"I've really enjoyed your party , Lisa . ",joy
" Not at all , Sam . ",joy
" I wish I could stay longer , but I must be going . ",joy
It's snowing heavily . ,joy
 The snow is so beautiful . ,joy
"Rachel , do you like music ? ",joy
" Of course . I can't live without it , so I always bring my CD with me no matter where I go . ",joy
 What kind of music do you like best ? ,joy
 Light music and classic music . ,joy
 Really ? I can't believe this . I am also keen on classic music . And do you know there is a concert of classic music tomorrow evening ? ,other
 I got two . We can go there together . ,joy
 Amazing ! I can imagine the feeling when I hear the smooth tune around my ears . ,joy
Look at what you have done . All thumbs . ,anger
" I spend most of my spare time reading . And I subscribe to various newspapers , magazines and periodicals . ",joy
 I am interested in science fiction . ,joy
You look great ! ,joy
 Thanks to you . I'm totally pumped up . ,joy
 So you are happy that you made the decision to join us . ,joy
 I am afraid I can't I am going to be out all day . ,sadness
" Sorry to hear that , I was really looking forward to spending some more time with you , I really enjoyed our last chat . ",sadness
" I am really sorry too , maybe I can give you a call sometime . ",sadness
 Very Good . I'd like to do that . ,joy
You are an eager beaver . ,joy
 Thank you . I just consider working as part of my life . ,joy
 Lizzy who ? ,other
 That sounds terrific . ,joy
" Well , that ’ s good . If you lose your job , you can just move in with me until you find another job . That will save you plenty of money . ",joy
 That ’ s very generous of you . I guess that would work . ,joy
" If you lose your job , you just have to go for a few months without buying all the junk you usually buy . If you live frugally , you ’ ll save plenty of money . ",joy
 I guess working with so much money has made me rather greedy . Maybe losing my job would be a good thing ! ,joy
" I ’ d love to , but you know I ’ Ve got another appointment . I ’ m really sorry . ",sadness
 Are you kidding me ? Becky ? She ’ s a real bitch . ,other
 But that makes thirteen people ! We can't have thirteen people for dinner on Friday ! ,other
 Really ? ,other
"Hello , Alice . Would you like to go to the temple fair with me ? ",joy
" Yes . The ancient custom of holding temple fairs is to offer sacrifices to the god of the earth , and they have developed into a festival filled with food , performances and games now . ",joy
 Sounds interesting ! ,joy
" Absolutely , I love temple fairs . Beijing has several temple fairs recently . They are different from each other to some extent , but also have a lot in common . ",joy
 I just can't wait to see them . Which one do you choose today ? ,joy
" What about Tianqiao Temple Fair ? A variety of opera performances , acrobatics shows , and food will dazzle you . ",joy
 Great ! Do you know how to get there ? ,joy
 Of course . ,joy
 Couldn't be better . ,joy
" Oh , I didn't know that . ",other
 Thank you . So you think I will be able to get in with this ? ,joy
 Thanks . ,joy
" He's very handsome , isn't he ? What's he like ? ",joy
 Really ? I love eccentric people . ,other
 Why ? What do you mean by that ? ,other
 Really ! How fascinating . ,other
How did you first meet Jack each other ? ,joy
 That is a heavy raining afternoon . I was standing under the eaves of a shop to evade the heavy rain . It's getting dark . ,joy
 And then ? ,joy
" I was trembling in the wind when he ran to me with an umbrella in his hand and asked , ' Where is your home ? ' ",joy
 Then he sent you to your home ? ,joy
 Yeah . ,joy
 It's a romantic meeting . I can say that a hero saves a beauty . ,joy
 He joked later that I was so poor that he had a kind of impulse to protect an ant . ,joy
 He is so humorous . ,joy
 Good . ,joy
 Really ? That sounds interesting ! ,other
I like NBA very much . ,joy
" Let's go to watch an NBA game tonight , shall we ? ",joy
 That's fine . ,joy
 I know the perfect place ! ,joy
